,S,K,V,_T,mid_iv,bids,asks,last_price,mid
404,37585.5,12000,6.7,105.52658752909689,125.86,0.003714697406340057,0.5075849673202614,0.006,0.2556498323633007
260,38306.84,12000,0.7,203.56825419576356,112.505,0.002035793194874061,0.06647555555555554,0.021,0.0342556743752148
7,36872.67,14000,0.4,14.52658752909689,201.085,0.0005,0.10579003021148035,0.0005,0.05314501510574018
269,37324.24,15000,17.0,77.52658752909689,125.1,0.007099483204134366,0.013640583554376659,0.0105,0.010370033379255513
392,37042.7,15000,82.8,49.52658752909689,134.33999999999997,0.0014060721062618597,0.008054785894206556,0.005,0.004730429000234208
332,38892.24,15000,30.9,287.56825419576353,101.995,0.03271907216494846,0.05965033783783783,0.0405,0.04618470500139314
217,36902.07,16000,11.0,14.52658752909689,180.475,0.0005,0.009389452332657198,0.001,0.004944726166328599
300,38308.18,16000,0.2,203.56825419576356,106.47,0.017844202898550723,0.042540723981900445,0.0355,0.030192463440225584
330,37598.34,16000,4.3,105.52658752909689,117.33000000000001,0.00427212389380531,0.4085929824561401,0.017,0.20643255317497272
233,38311.4,18000,0.5,203.56825419576356,104.66499999999999,0.03681470588235293,0.05016111111111111,0.045,0.04348790849673202
123,37565.23,18000,4.1,105.52658752909689,114.03,0.010981220657276995,0.052789719626168206,0.0225,0.0318854701417226
265,36895.32,18000,62.1,14.52658752909689,167.29500000000002,0.0005831571529245948,0.0054285714285714284,0.0015,0.0030058642907480116
369,37056.01,20000,169.9,49.52658752909689,117.95,0.00928541226215645,0.016169480519480528,0.0125,0.012727446390818489
389,36847.5,20000,0.1,0.5265875290968903,250.0,0.0,0.021901464713715044,0.0005,0.010950732356857522
370,38302.33,20000,0.4,203.56825419576356,101.60499999999999,0.03439692307692309,0.08776346153846154,0.057999999999999996,0.061080192307692315
136,37567.72,20000,32.0,105.52658752909689,110.595,0.012050161812297736,0.3768910256410255,0.0305,0.19447059372666162
56,36878.91,20000,20.4,14.52658752909689,157.61,0.0008379441280173583,0.011202407825432654,0.0025,0.0060201759767250064
291,38904.42,20000,3.5,287.56825419576353,99.09,0.030278115501519758,0.11708695652173906,0.08900000000000001,0.07368253601162941
18,36840.51,20000,32.7,7.52658752909689,185.495,0.0005,0.010258486905916592,0.0015,0.0053792434529582964
303,37323.83,20000,4.7,77.52658752909689,113.84,0.014704735376044567,0.028718840579710147,0.0225,0.02171178797787736
40,36873.1,22000,35.4,14.52658752909689,144.29,0.0021585720215857203,0.026755338904363976,0.0035,0.014456955462974848
258,38306.84,22000,25.6,203.56825419576356,100.52,0.03483571428571429,0.08113398692810456,0.07200000000000001,0.05798485060690942
282,36895.26,24000,180.3,14.52658752909689,133.97000000000003,0.0029913885898815926,0.017448695652173912,0.006,0.010220042121027752
